kbwltiqjrk,2,9,680,False,0,,Geek
loikywosts,9,6,1245,False,0,,Geek
criapgowgu,7,7,1096,False,0,,Generous
gcuhwxadib,8,4,1334,False,0,,Generous
vickqtguvh,4,4,1328,False,0,,Generous
tutithtlox,10,4,1922,False,0,,Miser
bqsedlmprc,9,3,1289,False,0,,Miser
owgquqmgzb,7,10,564,False,0,,Geek
gbwsgisfma,7,3,1969,False,0,,Generous
bbwcfhwebc,4,10,1250,False,0,,Geek
opwtszpxym,6,8,1989,False,0,,Miser
addgzjrisc,1,9,266,False,0,,Geek
gkdbhrfjqr,2,1,1007,False,0,,Geek
zrelvwtasf,7,7,1403,False,0,,Geek
tamrgeebcr,7,1,1442,False,0,,Generous
xdmiilsnkp,4,7,1361,False,0,,Geek
muqlclkerq,3,2,1581,False,0,,Geek
zfvpygnhpk,3,2,1951,False,0,,Generous
atcipvqgey,4,8,1622,False,0,,Geek
rnsdmkgyuj,3,6,754,False,0,,Generous
ysvxmgxkqm,4,8,332,False,0,,Miser
qpovhlixmw,3,9,1015,False,0,,Geek
lgcaukaets,5,4,401,False,0,,Geek
thgccuxbff,4,6,1825,False,0,,Geek
tpfzfzzryl,5,5,1921,False,0,,Geek
lvzlbjbuny,4,6,1317,False,0,,Geek
vrihotoiqf,5,1,1364,False,0,,Generous
fcazsqvxtq,10,5,666,False,0,,Miser
fccewqbyfh,7,5,1846,False,0,,Miser
mpjmmmkpqw,10,2,1310,False,0,,Miser
uvcrgfolmw,7,6,634,False,0,,Generous
mmnyfejssr,1,8,695,False,0,,Geek
leygggqqee,10,10,1744,False,0,,Generous
psxojwxtjv,8,9,1567,False,0,,Generous
nqxucupspo,9,7,417,False,0,,Geek
akqapokedr,9,6,1510,False,0,,Generous
gnosnoyzui,3,1,1271,False,0,,Geek
iqqfroejyn,10,3,1454,False,0,,Geek
bpkljlxlmv,10,7,1487,False,0,,Generous
tkczzyyeqd,7,5,921,False,0,,Geek
rpbkjddvzl,3,10,1920,False,0,,Geek
gnuxcaixvq,3,4,268,False,0,,Generous
hgvfhagtyz,1,1,1872,False,0,,Miser
rqsdliuvdv,6,3,1164,False,0,,Generous
gipsjfhwab,4,9,1010,False,0,,Miser
nhupdshdnl,6,10,1415,False,0,,Miser
zgxncsukcx,4,3,1313,False,0,,Geek
fxmquddusb,5,4,1513,False,0,,Geek
rpgoumftaq,2,10,1761,False,0,,Geek
hyheeitfoz,9,10,1558,False,0,,Generous
